,action,s0,s1,s2,s3,s4,l0,l1,l2,l3,l4
143,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
144,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
145,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
146,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
147,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
148,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
149,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
152,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
154,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
155,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
156,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
157,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
158,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
159,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
160,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
162,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
163,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
165,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
166,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
167,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
168,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
169,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
170,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
171,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
