,waypoint_from,waypoint_to,room_from,room_to,type_from,type_to,changed_rooms
826,13,14,1,1,0,2,1
827,14,15,1,1,2,2,1
828,15,16,1,1,2,2,1
829,16,17,1,1,2,2,1
830,17,14,1,1,2,2,1
831,14,11,1,1,2,2,1
832,11,10,1,1,2,0,1
833,10,7,1,0,0,0,1
834,7,0,0,0,0,2,1
835,0,1,0,0,2,2,1
836,1,2,0,0,2,2,1
837,2,3,0,0,2,1,1
838,3,4,0,0,1,0,1
839,4,5,0,0,0,2,1
840,5,6,0,0,2,2,1
841,6,8,0,0,2,2,1
842,8,0,0,0,2,2,1
843,0,2,0,0,2,2,1
844,2,7,0,0,2,0,1
845,7,10,0,1,0,0,1
846,10,9,1,1,0,2,1
847,9,11,1,1,2,2,1
848,11,12,1,1,2,1,1
849,12,13,1,1,1,0,1
850,13,14,1,1,0,2,1
851,14,15,1,1,2,2,1
852,15,16,1,1,2,2,1
853,16,17,1,1,2,2,1
854,17,10,1,1,2,0,1
855,10,7,1,0,0,0,1
856,7,0,0,0,0,2,1
857,0,1,0,0,2,2,1
858,1,2,0,0,2,2,1
859,2,3,0,0,2,1,1
860,3,4,0,0,1,0,1
861,4,5,0,0,0,2,1
862,5,6,0,0,2,2,1
863,6,8,0,0,2,2,1
864,8,5,0,0,2,2,1
865,5,3,0,0,2,1,1
866,3,7,0,0,1,0,1
867,7,0,0,0,0,2,1
868,0,1,0,0,2,2,1
869,1,2,0,0,2,2,1
870,2,8,0,0,2,2,1
871,8,4,0,0,2,0,1
872,4,20,0,2,0,0,1
873,20,18,2,2,0,2,1
874,18,19,2,2,2,2,1
875,19,21,2,2,2,1,1
876,21,22,2,2,1,2,1
877,22,23,2,2,2,2,1
878,23,24,2,2,2,2,1
879,24,25,2,2,2,0,1
880,25,26,2,2,0,2,1
881,26,18,2,2,2,2,1
882,18,20,2,2,2,0,1
883,20,4,2,0,0,0,1
884,4,0,0,0,0,2,1
885,0,1,0,0,2,2,1
886,1,2,0,0,2,2,1
887,2,3,0,0,2,1,1
888,3,5,0,0,1,2,1
889,5,6,0,0,2,2,1
890,6,7,0,0,2,0,1
891,7,8,0,0,0,2,1
892,8,1,0,0,2,2,1
893,1,3,0,0,2,1,1
894,3,4,0,0,1,0,1
895,4,0,0,0,0,2,1
896,0,8,0,0,2,2,1
897,8,2,0,0,2,2,1
898,2,0,0,0,2,2,1
